Key,Description,Standard,Kobun
SAY.Flowchart.406.,,異世界転生した主人公が勇者として魔王を倒す王道RPG　と言えばよく聞く話であろう。,遊戯の世に召されし者の、兵（つわもの）が魔王を討つ物語とは、よく聞かん話。
SAY.Flowchart.409.,,彼もこのゲームを気に入っていた。,彼もまたかの物語を好めり。
SAY.Flowchart.408.,,ゲームに異世界転生できたらどうだろう。夢のような話である。,遊戯の世に召されるにや、夢見心地にある。
SAY.Flowchart.407.,,しかし、勇者はそれに気づいていなかった。\n,然して兵（つわもの）のその縁に気づくことあらざりけり。\n
SAY.Flowchart.1.,,大都会の足元に佇む代々木、\nこの地には代々木キャンパスと呼ばれる学園があった。,大きなる町の横にて佇む代々木、かの地には、名を代々木キャンパスとなむ言ひける学園ありけり。
SAY.Flowchart.2.,,人々が行き交う喧騒な街のすぐ側。\nしかしその立地の割には平穏な時間が流れる学園。,人々の行き交ふかまびすしき町の横にあれども、静かなる時の流るる学園。
SAY.Flowchart.3.,,学園生活は平和そのもの。\n誰一人としてこの空間に疑問を抱く者は居なかった。,世は平穏、誰か学園に悩みのあらむ。
SAY.Flowchart.227.,,....。,…。
SAY.Flowchart.9.,,しかし、本当にそうだろうか。,然して、それは真か。
SAY.Flowchart.4.,,今を生きる者は歴史を知らない。,今に生きる者、歴史を知らず。
SAY.Flowchart.5.,,この地にまつわる伝説を、人々はまだ知らない。,かの地にまつはる伝説を知らず。
SAY.Flowchart.218.,,先住民は口を揃えてこう言った。,住み渡りし者、口を揃えてかく言いけり。
SAY.Flowchart.7.,,「この地には、ヌシが捕らえられている」と。,「かの地、”ぬし”の捕らわれし所なり。」と。
SAY.Flowchart.20.,,これは、100年前のこの地で起きた\n一人の勇者の物語である。,此れは遥か百年前の、かの地のある兵の物語にあり。
SAY.Flowchart.19.,,冒険者ギルド 受付,侍所 受付
SAY.Flowchart.15.,,いらっしゃい。\nおや、見かけない顔だね。新人さんかな？,御座候ふ。珍しき顔やある。新人か。
SAY.Flowchart.23.,,ここは「冒険者ギルド」だ。\n君も冒険者になりたいなら、あっちで登録を済ませておいで。,ここは侍所。其方の志あらば、登録を済ますべし。
SAY.Flowchart.26.受付,,よーっ！新人さん！\nここは冒険者ギルドだ,新人や。ここは侍所なり。
SAY.Flowchart.359.受付,,まずは登録から！\n登録する名前が決まったら声をかけてくれ！,登録を済ますべし。其方の名を定めては、我に声をかけ給へ。
SAY.Flowchart.30.受付,,「{$player_name}」\nこの名前で申請していいかな？,「{$player_name}」これ其方の名前となるは、良きか？
MENU.Flowchart.31,,「{$player_name}」で登録,然るべし
MENU.Flowchart.33,,考え直す,思ひ止む
SAY.Flowchart.38.受付,,君、{$player_name}って言うのか！\nハハハ、かつてこの世界を救ってくれた勇者の名前にそっくりだなあ！,其方、名を「{$player_name}」と言ふか。あなめでたきこと、かつてこの世を救いし兵の名に似たり。
SAY.Flowchart.360.受付,,君には期待できそうだ！がんばって！,其方の栄華こころよせにして侍り。御武運を。
SAY.Flowchart.43.,,冒険者ギルドへの登録が完了した！,侍所に入れり！
SAY.Flowchart.35.受付,,じっくり考えな！大事な名前だ。,考え給へ。名は其方の宝なり。
SAY.Flowchart.58.NATO,,NATOOOOOOOOO!!!,北大西洋条約機構。
SAY.Flowchart.173.NATO,,NATOの序文読みます,いざ、英語にて北大西洋条約機構の条文を読まん。
SAY.Flowchart.64.NATO,,The Parties to this Treaty reaffirm their faith in the purposes and principles of the Charter of,The Parties to this Treaty reaffirm their faith in the purposes and principles of the Charter of
SAY.Flowchart.72.NATO,,the United Nations and their desire to live in peace with all peoples and all governments.,the United Nations and their desire to live in peace with all peoples and all governments.
SAY.Flowchart.65.NATO,,"They are determined to safeguard the freedom, common heritage and civilisation of their peoples, founded on the principles of democracy,","They are determined to safeguard the freedom, common heritage and civilisation of their peoples, founded on the principles of democracy,"
SAY.Flowchart.66.NATO,,individual liberty and the rule of\nlaw. They seek to promote stability and well-being in the North Atlantic area.\n,individual liberty and the rule of\nlaw. They seek to promote stability and well-being in the North Atlantic area.\n
SAY.Flowchart.67.NATO,,They are resolved to unite their efforts for collective defence and for the preservation of peace and security.,They are resolved to unite their efforts for collective defence and for the preservation of peace and security.
SAY.Flowchart.68.NATO,,They therefore agree to this North Atlantic Treaty:\nArticle 1\nThe Parties underta,They therefore agree to this North Atlantic Treaty:\nArticle 1\nThe Parties underta
SAY.Flowchart.69.,,あ、もう大丈夫です。,良きかな。
MENU.Flowchart.1131,,ナレ爺？,慣爺？
SAY.Flowchart.60.Mosscama,,MOSSCAMA~~~~~,苔蒲。
MENU.Flowchart.1125,,ナレ爺？,慣爺？
SAY.Flowchart.111.{$player_name},,！？,！？
SAY.Flowchart.112.,,"""ヌシ""だ！耳を塞げ！",ぬしなり、耳を塞ぎ給へ！
SAY.Flowchart.128.旅人,,"今のは""ヌシ""の音だ。",今ここにありしはぬしなり。
SAY.Flowchart.130.旅人,,新人だな？反応を見れば分かる。\n私もギルドに所属する冒険者の一人だ。\n今は二階を旅している。よろしく。,新人か、見て知らえぬ。我も侍所の一人にありては、今は二階を旅す。よろしく願い奉りはべり。
SAY.Flowchart.361.受付,,この子は大型新人ですよー！\n名前も「{$player_name}」って言うんですよ！かつての勇者の名前にそっくり！,かの新人はなのめならず、名を「{$player_name}」と言ふ。かの兵に似たるは驚きたり。
